raw_mean,raw_std,scaled_mean,scaled_std
1.472,0.397,-0.0,1.001
0.436,0.635,0.0,1.001
0.186,0.397,0.0,1.001
1.317,0.995,-0.0,1.001
0.631,0.895,-0.0,1.001
1.034,0.723,0.0,1.001
0.811,0.994,0.0,1.001
0.633,0.761,-0.0,1.001
0.614,0.602,-0.0,1.001
2.049,0.761,-0.0,1.001
2.416,0.805,-0.0,1.001
2.271,1.284,-0.0,1.001
1.682,0.906,-0.0,1.001
