name,shelter_started_at,home_started_at,back_shelter_at,link,поступление,пристройство,возврат
КРОМВЕЛЬ,2021-10-01,2022-09-04,,https://helpdog.ru/forum/threads/kromvel-chernyj-staff-zaprygnul-v-mashinu-k-policii-krasnodar.15298/,сообщение 2021-09-28: 21-1050 Передержка с 01.10.21 по 31.,сообщение 2022-09-04: Кромвель поехал домой,
КРОМВЕЛЬ,2021-10-01,2022-11-05,2022-11-25,https://helpdog.ru/forum/threads/kromvel-chernyj-staff-zaprygnul-v-mashinu-k-policii-krasnodar.15298/,сообщение 2021-09-28: 21-1050 Передержка с 01.10.21 по 31.,сообщение 2022-11-05: Кромвель поехал домой,
КРОМВЕЛЬ,2021-10-01,2022-12-08,2023-09-21,https://helpdog.ru/forum/threads/kromvel-chernyj-staff-zaprygnul-v-mashinu-k-policii-krasnodar.15298/,сообщение 2021-09-28: 21-1050 Передержка с 01.10.21 по 31.,сообщение 2022-12-08: Кромвель поехал домой,
НАСКАР,2022-03-20,2023-07-22,,https://helpdog.ru/forum/threads/naskar-nalchik-nuzhny-finkuratory.15557/,сообщение 2022-03-20: Передержка с 20.03.22 по 31.,сообщение 2023-07-22: Наскар поехал домой,
СОНЕТ,2020-01-01,2020-10-04,2021-04-20,https://helpdog.ru/forum/threads/sonet-ryzhij-staff-iz-solnechnogorskogo-rajona.13032/,сообщение 2018-03-15: Передержка с 01.01.20 по 31.,"сообщение 2020-10-04: Сонет поехал домой. Удачи, малыш",сообщение 2021-04-20: И потом бах и возврат.
ДИЗЕЛЕК,2020-12-11,2020-12-15,,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/,сообщение 2020-12-11: Расход Обработка при поступлении - 800 Передержка с 11.12.20 по 31.,"сообщение 2020-12-15: суок сказал(а): Очень редкий случай,когда я рада что собаку не забрали домой! У парня думаю будет немало шансов найти настоящих хозяев. Нажмите, чтобы раскрыть... Однозначно",
ДИЗЕЛЕК,2020-12-11,2021-02-03,,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/,сообщение 2020-12-11: Расход Обработка при поступлении - 800 Передержка с 11.12.20 по 31.,сообщение 2021-02-05: 02 - поехал домой.,
ДИЗЕЛЕК,2020-12-11,2021-07-04,,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/,сообщение 2020-12-11: Расход Обработка при поступлении - 800 Передержка с 11.12.20 по 31.,сообщение 2021-07-04: ДИЗЕЛЕК поехал домой,
ДИЗЕЛЕК,2020-12-11,2022-02-19,,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/,сообщение 2020-12-11: Расход Обработка при поступлении - 800 Передержка с 11.12.20 по 31.,сообщение 2022-02-26: 19.02.2022 Дизелек уехал домой,
ВАНДЕР,2021-01-09,,,https://helpdog.ru/forum/threads/vander-vladikavkaz-xoteli-usypit-nuzhny-finkuratory.14892/,сообщение 2021-01-05: Расход Обработка при поступлении - 800 Передержка с 09.01.21 по по 31.,,
БАНКИР,2023-02-10,,,https://helpdog.ru/forum/threads/bankir-novocherkassk.15899/,сообщение 2023-02-10: Расход Обработка при поступлении - 800 Передержка с 10.02.23 по 28.,,
ПРЕСЛИ,2024-04-12,2024-05-30,,https://helpdog.ru/forum/threads/presli-nashli-na-stadione-nuzhny-finkuratory.16217/,сообщение 2024-04-16: Передержка с 12.04.24 по 30.,сообщение 2024-05-30: Пресли поехал домой,
ПРЕСЛИ,2024-04-12,2024-09-21,2024-12-30,https://helpdog.ru/forum/threads/presli-nashli-na-stadione-nuzhny-finkuratory.16217/,сообщение 2024-04-16: Передержка с 12.04.24 по 30.,сообщение 2024-09-21: Пресли поехал домой,"сообщение 2024-12-30: К сожалению, не могу сказать, что возврат не связан с собакой , дело именно в нем."
ДЖЕСУР,2023-07-16,,,https://helpdog.ru/forum/threads/dzhesur-turcija-nuzhny-finkuratory.16037/,сообщение 2023-07-17: Расход Обработка при поступлении - 0 Передержка с 16.07.23 по 31.,,
ДЕЛОНА,2022-04-08,2024-09-26,2024-11-12,https://helpdog.ru/forum/threads/delona-doneck-nuzhny-finkuratory.15594/,сообщение 2022-04-07: 22 - 1000 на сб от @kyzmina_natalia Итого: 19127 Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,"сообщение 2024-09-26: Делона поехала домой - YouTube Смотрите любимые видео, слушайте любимые песни, загружайте собственные ролики и делитесь ими с друзьями, близкими и целым миром. youtube.com","сообщение 2024-11-12: Делоночка вернулась в приют Делона.mp4 Смотрите онлайн короткое видео (shorts) канала «NataliyaRV» в хорошем качестве, опубликованное 12 ноября 2024 года в 15:51, длительностью 00:00:14, на видеохостинге RUTUBE. rutube.ru"
ТОДИН,2021-07-15,2022-10-30,,https://helpdog.ru/forum/threads/todin-turcija-v-prijute.15177/,сообщение 2021-07-16: 21 - 50000 на СБ - от волонтеров Турции Итого: 50000 Расход Обработка при поступлении - 800 Передержка с 15.07.21 по 31.,сообщение 2022-10-30: Тодин поехал домой!,
ТОДИН,2021-07-15,2023-05-18,,https://helpdog.ru/forum/threads/todin-turcija-v-prijute.15177/,сообщение 2021-07-16: 21 - 50000 на СБ - от волонтеров Турции Итого: 50000 Расход Обработка при поступлении - 800 Передержка с 15.07.21 по 31.,сообщение 2023-05-18: Тодин поехал домой,
ПИНКЕРТОН,2023-12-03,,,https://helpdog.ru/forum/threads/pinkerton-perm-nuzhny-finkuratory.16128/,сообщение 2023-12-04: 24 - 25138 на Сб Ксения Итого: 25138 Расход Обработка при поступлении - 800 Передержка с 03.12.23 по 31.,,
МИРИАМ,2023-01-05,,,https://helpdog.ru/forum/threads/miriam-bezhenka-iz-mariupolja.15868/,сообщение 2023-01-05: Передержка с 05.01.23 по 31.,,
ЯРНИ,2022-08-05,2022-08-16,2025-05-03,https://helpdog.ru/forum/threads/jarni-7-mesjachnogo-schenka-sdali-v-ppzh-jakutska-vernulsja-v-prijut.15735/,сообщение 2022-08-06: Передержка с 05.08.22 по 16.,сообщение 2022-08-16: Ярни поехал домой под бочок к нашему Тутанхамону,
ДАНДИ,2022-04-08,2022-08-13,,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/,сообщение 2022-04-07: Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,сообщение 2022-08-13: Данди поехал домой,
ДАНДИ,2022-04-08,2023-05-07,,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/,сообщение 2022-04-07: Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,сообщение 2023-05-07: Данди поехал домой,
ДАНДИ,2022-04-08,2023-07-16,,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/,сообщение 2022-04-07: Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,сообщение 2023-07-16: Данди поехал домой,
ДАНДИ,2022-04-08,2023-08-05,2023-08-21,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/,сообщение 2022-04-07: Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,сообщение 2023-08-05: Данди поехал домой,"сообщение 2023-08-21: Мне хотелось бы знать реальные причины возврата собаки. Потому что с каждым возвратом новые «истории». На него очень плохо влияют эти поездки туда сюда и смена «хозяев»…. Хочется, чтобы следующие руки действительно были осведомлены обо всех моментах и реально готовы к ним, чтобы без мотыляния несчастного Д ..."
ДАЛЛАС,2020-09-01,2021-06-27,,https://helpdog.ru/forum/threads/dallas-brosili-na-ploschadke-dlja-sobak.14701/,сообщение 2020-09-01: Расход Обработка при поступлении - 800 Передержка с 01.09.20 по 30.,"сообщение 2021-06-27: Даллас поехал домой. Удачи, малыш",
ВАШИНГТОН,2020-01-20,2020-09-27,2021-01-20,https://helpdog.ru/forum/threads/vashington-vladikavkaz-neschastnyj-podrannyj-pes-sos.14598/,сообщение 2020-06-30: ОПЯТЬ И СРОЧНО НУЖНА ВАША ПОМОЩЬ ФИНАНСИРОВАНИЕ 2021 Приход Итого Расход Передержка с 20.01.20 по 31.,сообщение 2020-09-27: ВАШИНГТОН поехал домой УДАЧИ!!,"сообщение 2021-01-20: Мне очень не нравится, когда собак возвращают, я продумывала не один день решение взять сначала Айну, затем целый год зрела до Старка, но такой возврат мне кажется более лучше, чем когда втихаря теряют интерес или не могут полюбить, не сдают, а издеваются над собакой, все знают о чём я. Вот подавляющее большинство всё-таки отличные хозы, а ""паршивые овцы"" есть везде"
ЛАЙК,2022-03-26,,,https://helpdog.ru/forum/threads/lajk-xozjaina-posadili-lytkarino-nuzhny-finkuratory.15567/,сообщение 2022-03-27: ФИНАНСИРОВАНИЕ Финкураторы Итого: Приход Итого: Расход Обработка при поступлении - 800 Передержка с 26.03.22 по 31.,,
ТАЙРЕС,2022-01-28,2022-12-11,,https://helpdog.ru/forum/threads/tajres-vyvezen-iz-turcii.15480/,сообщение 2022-01-28: Расход Обработка при поступлении - 800 Передержка с 28.01.22 по 31.,сообщение 2022-12-11: Тайрес поехал домой,
ТАЙРЕС,2022-01-28,2024-02-25,,https://helpdog.ru/forum/threads/tajres-vyvezen-iz-turcii.15480/,сообщение 2022-01-28: Расход Обработка при поступлении - 800 Передержка с 28.01.22 по 31.,сообщение 2024-02-25: Тайрес поехал домой,
ТАЙРЕС,2022-01-28,2024-04-07,2024-08-03,https://helpdog.ru/forum/threads/tajres-vyvezen-iz-turcii.15480/,сообщение 2022-01-28: Расход Обработка при поступлении - 800 Передержка с 28.01.22 по 31.,сообщение 2024-04-07: Тайрес поехал домой,"сообщение 2024-08-03: В чем причина возврата, люди не могут найти компромисс… да а как он к кошкам ?"
ТОНИК,2022-05-06,,,https://helpdog.ru/forum/threads/tonik-turcija-nuzhny-finkuratory.15620/,сообщение 2022-05-03: 22 ФИНАНСИРОВАНИЕ Финкураторы Итого: Приход Итого: Расход Обработка при поступлении - 0 Передержка с 06.05.22 по 31.,,
