name,shelter_started_at,home_started_at,back_shelter_at,link,поступление,пристройство,возврат
ДЖАСПЕР,2023-02-27,,,https://helpdog.ru/forum/threads/dzhasper-dolgoprudnyj-privjazannyj-staff-nuzhna-pomosch.15922/,сообщение 2023-02-27: Расход Обработка при поступлении - 800 Передержка с 27.02.23 по 28.,,
ГЕОРГ,2023-03-13,,,https://helpdog.ru/forum/threads/georg-goljanovo-vystavili-na-ulicu-s-veschami.15936/,сообщение 2023-03-14: ФИНАНСИРОВАНИЕ Финкураторы: Итого Приход Итого: Расход Обработка при поступлении - 800 Передержка с 13.03.23 по 31.,,
РАССЕЛ,2024-06-07,2026-04-18,,https://helpdog.ru/forum/threads/rassel-rostov-nuzhny-finkuratory-ispytatelnyj-s-18-04.16265/,сообщение 2024-06-11: Передержка с 07.06.24 по 30.,сообщение 2026-04-18: Рассел поехал домой,
РИДДИК,2023-07-02,2026-03-29,,https://helpdog.ru/forum/threads/riddik-chernyj-krasavchik-syn-ricy-nuzhen-dom-v-prijute-ispytatelnyj-s-29-03.14039/,сообщение 2019-08-18: Передержка с 02.07.23 по 31.,заголовок темы: РИДДИК - ЧЕРНЫЙ КРАСАВЧИК! СЫН РИЦЫ! НУЖЕН ДОМ!!! В ПРИЮТЕ! (ИСПЫТАТЕЛЬНЫЙ с 29.03),
ЯЦИК,2024-02-28,,,https://helpdog.ru/forum/threads/jacik-jakutsk-nuzhny-finkuratory.16190/,сообщение 2024-02-28: Передержка с 28.02.24 по 29.,,
ТАНИТА,2023-01-01,,,https://helpdog.ru/forum/threads/tanita-devochka-iz-tureckogo-vivarija.15317/,сообщение 2021-10-15: Расход Передержка с 01.01.23 по 31.,,
РУЛЛА,2024-03-15,,,https://helpdog.ru/forum/threads/rulla-najdena-v-ruzskom-rajone.16201/,сообщение 2024-03-18: Передержка с 15.03.24 по 31.,,
ЮККА,2018-05-09,2021-06-12,,https://helpdog.ru/forum/threads/jukka-schenok-s-ranami-na-golove-ramenskij-r-on.13149/,сообщение 2018-05-08: Расход Передержка с 09.05.18 по 17.,сообщение 2021-06-12: Юкка поехала домой,
ЮККА,2018-05-09,2023-01-18,2023-01-19,https://helpdog.ru/forum/threads/jukka-schenok-s-ranami-na-golove-ramenskij-r-on.13149/,сообщение 2018-05-08: Расход Передержка с 09.05.18 по 17.,сообщение 2023-01-18: Юкка поехала домой,сообщение 2023-01-19: Возврат.
ЮККА,2018-05-09,2024-01-21,,https://helpdog.ru/forum/threads/jukka-schenok-s-ranami-na-golove-ramenskij-r-on.13149/,сообщение 2018-05-08: Расход Передержка с 09.05.18 по 17.,сообщение 2024-01-21: Юкка поехала домой,
ЯРИЛ,2020-07-06,2020-09-10,,https://helpdog.ru/forum/threads/jaril-jakutsk-tigrovyj-molodoj-staff.14611/,сообщение 2020-07-05: Расход Обработка при поступлении - 800 Передержка с 06.07.20 по 31.,сообщение 2020-09-10: ЯРИЛ поехал домой,
ЯРИЛ,2020-07-06,2023-01-31,,https://helpdog.ru/forum/threads/jaril-jakutsk-tigrovyj-molodoj-staff.14611/,сообщение 2020-07-05: Расход Обработка при поступлении - 800 Передержка с 06.07.20 по 31.,сообщение 2023-01-31: Мальчишка Ярил поехал домой! Удачи!,
ЯРИЛ,2020-07-06,2023-07-10,2023-09-08,https://helpdog.ru/forum/threads/jaril-jakutsk-tigrovyj-molodoj-staff.14611/,сообщение 2020-07-05: Расход Обработка при поступлении - 800 Передержка с 06.07.20 по 31.,"сообщение 2023-07-10: Ярил уже полгода вроде как уехал домой,а почему-то не в теме пристроенных",сообщение 2023-09-08: Волею судьбы Яричка опять в приюте.
ЛЮЦЕРН,2021-01-22,2021-03-30,,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,"сообщение 2021-03-30: Красавчик Люцерн поехал домой Дай Бог, чтобы всë сложилось",
ЛЮЦЕРН,2021-01-22,2021-05-16,2021-06-23,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,сообщение 2021-05-16: Люцик поехал домой￼,сообщение 2021-06-23: Неужели проблема со здоровьем причина возврата.
ЛЮЦЕРН,2021-01-22,2021-08-24,,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,сообщение 2021-08-24: Люцерн поехал домой. Будем тихо надеяться (громко уже страшновато..).. Пусть получится у ребенка ))),
ЛЮЦЕРН,2021-01-22,2022-01-29,,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,"сообщение 2022-01-29: ЛЮЦЕРН поехал домой! Людям рассказали ВСЁ по три раза, очень надеемся на лучшее",
ЛЮЦЕРН,2021-01-22,2022-06-14,2022-09-21,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,сообщение 2022-06-14: Люцерн поехал домой. Пусть всë получится,"сообщение 2022-09-21: - пишут, что все хорошо и возврат через пару месяцев."
ЛЮЦЕРН,2021-01-22,2023-05-12,2023-05-29,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,сообщение 2023-05-12: Люцерн поехал домой,"сообщение 2023-05-29: Тут было ясно сразу, что будет возврат."
ЛЮЦЕРН,2021-01-22,2024-02-15,,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,сообщение 2024-02-15: Люцерн поехал домой,
СУХИЧ,2022-07-01,,,https://helpdog.ru/forum/threads/suxich-sochi-nuzhny-finkuratory.15695/,сообщение 2022-06-30: Передержка с 01.07.22 по 31.,,
ВИТТОРИ,2022-01-27,,,https://helpdog.ru/forum/threads/vittori-xozjain-pogib-v-dtp-ostalis-dve-sobaki-volgograd-nuzhny-finkuratory.15474/,сообщение 2022-01-27: Расход Обработка при поступлении - 800 Передержка с 27.01.22 по 31.,,
БАКСИК,2023-10-26,,,https://helpdog.ru/forum/threads/baksik-odincovo-nuzhna-pomosch.16098/,сообщение 2023-10-27: Расход Обработка при поступлении - 800 Передержка с 26.10.23 по 31.,,
ДУКАЛИС,2024-05-26,2024-07-23,,https://helpdog.ru/forum/threads/dukalis-dubna-nuzhny-finkuratory.16250/,сообщение 2024-05-27: Передержка с 26.05.24 по 31.,сообщение 2024-07-23: Дукалис поехал домой,
ДУКАЛИС,2024-05-26,2024-09-27,2025-01-05,https://helpdog.ru/forum/threads/dukalis-dubna-nuzhny-finkuratory.16250/,сообщение 2024-05-27: Передержка с 26.05.24 по 31.,сообщение 2024-09-27: Дукалис поехал домой,
ГЕРМЕС,2023-11-19,2025-05-02,,https://helpdog.ru/forum/threads/germes-gruzija-nuzhna-pomosch.16114/,сообщение 2023-11-21: Расход Обработка при поступлении - 800 Передержка с 19.11.23 по 30.,сообщение 2025-05-02: Гермес поехал домой,
ЛОДЖИ ЛОЙД,2020-10-09,,,https://helpdog.ru/forum/threads/lodzhi-lojd-molodoj-i-nenuzhnyj.14768/,сообщение 2020-10-10: 20 - 5000 (в составе 15000) на сб от хозяев Таны Итого: 5843 Расход Обработка при поступлении - 800 Передержка с 09.10.20 по 31.,,
АНТОНИЙ,2022-05-16,,,https://helpdog.ru/forum/threads/antonij-astraxan-nikomu-ne-nuzhnyj-pes.15635/,сообщение 2022-05-13: Расход Обработка при поступлении - 0 Передержка с 16.05.22 по 31.,,
ЯКОБС,2023-08-30,2024-06-24,,https://helpdog.ru/forum/threads/jakobs-istoschjonnyj-pit-iz-otlova-jakutskogo-ppzh-nuzhny-finkuratory.16050/,сообщение 2023-08-09: Передержка с 30.08.23 по 30.,сообщение 2024-06-24: Якобс поехал домой,
ТЭГИ,2020-11-28,2020-12-16,,https://helpdog.ru/forum/threads/tehgi-tula-nuzhny-finkuratory.14839/,сообщение 2020-11-28: 21 - 1000 на сб - Оля Шадская Итого: 13250 Расход Обработка при поступлении - 800 Передержка с 28.11.20 по 30.,сообщение 2020-12-16: Тэги поехал домой,
ТЭГИ,2020-11-28,2021-10-31,2021-11-21,https://helpdog.ru/forum/threads/tehgi-tula-nuzhny-finkuratory.14839/,сообщение 2020-11-28: 21 - 1000 на сб - Оля Шадская Итого: 13250 Расход Обработка при поступлении - 800 Передержка с 28.11.20 по 30.,"сообщение 2021-10-31: Тэги поехал домой. Удачи, малыш",
ШЕЙНА,2022-05-09,2023-10-29,2024-09-16,https://helpdog.ru/forum/threads/shejna-shatura-sobaku-brosili-v-lesu.15627/,сообщение 2022-05-09: 22 - 1000 на сб от @mihteevaolga Итого: 6000 Расход Обработка при поступлении - 800 Передержка с 09.05.22 по 31.,сообщение 2023-10-29: Шейна поехала домой,"сообщение 2024-09-16: Собаку вернули в приют. Молча без предварительного звонка. уходили весело, собака явно была не нужна и не любима"
ШЕЙНА,2022-05-09,2025-09-09,,https://helpdog.ru/forum/threads/shejna-shatura-sobaku-brosili-v-lesu.15627/,сообщение 2022-05-09: 22 - 1000 на сб от @mihteevaolga Итого: 6000 Расход Обработка при поступлении - 800 Передержка с 09.05.22 по 31.,сообщение 2025-09-09: Шейна поехала домой под бочок к Лемару,
ТИМОХА,2026-03-02,,,https://helpdog.ru/forum/threads/timoxa-ostalsja-bez-xozjaina.16428/,сообщение 2026-03-03: ru ФИНАНСИРОВАНИЕ Финкураторы Итого: Приход Итого: Расход Обработка при поступлении - 800₽ Передержка с 02.03.26 по 31.,,
БЕЛЫЙ БИМ,2021-06-13,2021-06-27,,https://helpdog.ru/forum/threads/belyj-bim_-adygeja-post-shans-nuzhna-pomosch-v-prijute-ispytatelnyj-s-20-04.15121/,сообщение 2021-06-11: 21 - 500 на сб от @evl_pugacheva Итого: 37500 Расход Обработка при поступлении - 800 Передержка с 13.06.21 по 27.,"сообщение 2021-06-27: Бимка поехал домой. Удачи, малыш",
БЕЛЫЙ БИМ,2021-06-13,2025-10-28,,https://helpdog.ru/forum/threads/belyj-bim_-adygeja-post-shans-nuzhna-pomosch-v-prijute-ispytatelnyj-s-20-04.15121/,сообщение 2021-06-11: 21 - 500 на сб от @evl_pugacheva Итого: 37500 Расход Обработка при поступлении - 800 Передержка с 13.06.21 по 27.,сообщение 2025-10-28: Белый Бим поехал домой,
БЕЛЫЙ БИМ,2021-06-13,2026-04-20,,https://helpdog.ru/forum/threads/belyj-bim_-adygeja-post-shans-nuzhna-pomosch-v-prijute-ispytatelnyj-s-20-04.15121/,сообщение 2021-06-11: 21 - 500 на сб от @evl_pugacheva Итого: 37500 Расход Обработка при поступлении - 800 Передержка с 13.06.21 по 27.,сообщение 2026-04-20: Белый Бим поехал домой,
КУКИ,2026-02-13,,,https://helpdog.ru/forum/threads/kuki-privjazali-u-teplotrassy.16427/,сообщение 2026-02-18: Расход Обработка при поступлении - 800₽ Передержка с 13.02.26 по 28.,,
БРИОН,2020-08-15,2021-05-11,,https://helpdog.ru/forum/threads/brion-brjansk-staff-okazalsja-ne-nuzhnym.14671/,сообщение 2020-08-15: Расход Обработка при поступлении - 800 Передержка с 15.08.20 по 31.,"сообщение 2021-05-11: Для того , чтобы собака поехала домой , надо чтобы в приюте с ней кто то занимался , а не тупо он сидел в вольере и дурел.",
ТОФИТА,2024-05-27,,,https://helpdog.ru/forum/threads/tofita-turcija-nuzhny-finkuratory.16252/,сообщение 2024-05-27: Передержка с 27.05.24 по 31.,,
ЧЕШИРА,2023-10-30,2023-12-27,,https://helpdog.ru/forum/threads/cheshira-chechnja-vykuplennaja-s-boev-pitochka.16100/,сообщение 2023-10-30: 25 - 3000 на альфа Саша Малышева Итого: 110760 Расход Обработка при поступлении - 800 Передержка с 30.10.23 по 31.,сообщение 2023-12-27: Чешира поехала домой,
ОРЕЙРА,2023-02-12,2023-04-12,2024-11-29,https://helpdog.ru/forum/threads/orejra-orenburg-nuzhny-finkuratory-v-prijute.15902/,сообщение 2023-02-13: 23 - 5000₽ на СБ @oxa_sk_ Итого: 32850 Расход Обработка при поступлении - 800 Передержка с 12.02.23 по 28.,сообщение 2023-04-12: Орейра поехала домой,сообщение 2024-11-29: Орейра вернулась в приют по семейным обстоятельствам
ОРЕЙРА,2023-02-12,2025-01-22,,https://helpdog.ru/forum/threads/orejra-orenburg-nuzhny-finkuratory-v-prijute.15902/,сообщение 2023-02-13: 23 - 5000₽ на СБ @oxa_sk_ Итого: 32850 Расход Обработка при поступлении - 800 Передержка с 12.02.23 по 28.,сообщение 2025-01-22: Орейра поехала домой,
ЧАРЛИК,2019-11-17,2021-04-05,,https://helpdog.ru/forum/threads/charlik-xozjain-umer-sobaka-na-ulicu-vernulsja-v-prijut.14181/,сообщение 2019-11-18: Передержка с 17.11.19 по 30.,"сообщение 2021-04-05: Так хочется, чтобы ты поскорее уехал домой.",
ЧАРЛИК,2019-11-17,2021-12-08,,https://helpdog.ru/forum/threads/charlik-xozjain-umer-sobaka-na-ulicu-vernulsja-v-prijut.14181/,сообщение 2019-11-18: Передержка с 17.11.19 по 30.,"сообщение 2021-12-08: Чарлик поехал домой. Удачи, малыш Держу за тебя кулачки. Пусть все получится",
ЧАРЛИК,2019-11-17,2022-07-30,,https://helpdog.ru/forum/threads/charlik-xozjain-umer-sobaka-na-ulicu-vernulsja-v-prijut.14181/,сообщение 2019-11-18: Передержка с 17.11.19 по 30.,сообщение 2022-07-30: Яджер уехал домой. С кем же теперь Чарльз коротает дни и ночи? Неужели опять с Геранькой?,
НИТА,2026-03-20,,,https://helpdog.ru/forum/threads/nita-pogorelica-iz-tuly.16432/,"первое сообщение темы 2026-03-20: Сколько бед может выпасть на долю одной собаки? Жизнь показывает, что много. Вот и этой девчушке досталось по полной. Изначально она попала не в самые лучшие руки, а потом и вовсе осталась одна. Дом сгорел, хозяев посадили и девчушка осталась в одиночестве на ...",,
МАЛИНА,2020-02-19,2021-05-08,2026-02-18,https://helpdog.ru/forum/threads/malina-sos-sobaku-vybrosili-v-podval-vmeste-s-schenkami-v-prijute.14385/,сообщение 2020-02-19: Передержка с 19.02.20 по 29.,"сообщение 2021-05-08: Малина уехала домой к Кате в Конаково. В компанию к ЯНате, Эдику и Бархату",сообщение 2026-02-18: Вчера Малина вернулась в приют. Серьезно заболела хозяйка
РОШАЛЬ,2022-01-01,,,https://helpdog.ru/forum/threads/roshal-krupnyj-ryzhij-metis-nuzhny-finkuratory.13153/,сообщение 2018-05-09: Передержка с 01.01.22 по 31.,,
РОКЕТ,2019-12-01,2019-12-10,,https://helpdog.ru/forum/threads/roket-nashli-belo-chernogo-staffa-rjazan-srochno-nuzhno-mrt-golovy.14220/,сообщение 2019-12-01: Расход Обработка при поступлении - Передержка с 01.12.19 по 02.,сообщение 2019-12-10: Мальчик сегодня уехал домой),
РОКЕТ,2019-12-01,2021-10-28,2021-11-05,https://helpdog.ru/forum/threads/roket-nashli-belo-chernogo-staffa-rjazan-srochno-nuzhno-mrt-golovy.14220/,сообщение 2019-12-01: Расход Обработка при поступлении - Передержка с 01.12.19 по 02.,"сообщение 2021-10-28: Рокет поехал домой. Удачи, малыш",сообщение 2021-11-05: А причина возврата какая? Какие проблемы в поведении Роекта?
НИКУСЯ,2025-12-02,,,https://helpdog.ru/forum/threads/nikusja-nekogda-zanimatsja-sobakoj.16411/,сообщение 2025-12-09: Расход Обработка при поступлении- 800₽ Передержка с 02.12.25 по 31.,,
ПИРС,2023-12-03,,,https://helpdog.ru/forum/threads/pirs-pjatigorsk-nuzhny-finkuratory.16127/,сообщение 2023-12-04: Обработка при поступлении - 800 Передержка с 03.12.23 по 31.,,
БАСЭМ,2021-10-01,2022-05-12,2022-09-25,https://helpdog.ru/forum/threads/basehm-bobrujsk-domashnjuju-sobaku-sdali-v-otlov.15291/,сообщение 2021-09-24: 25 - 3000р на альфу @Lokkyl (ФК) Итого: 145517₽ Расход Обработка при поступлении -800 Передержка с 01.10.21 по 31.,,"сообщение 2022-09-25: Сегодня Басэма вернули в приют по причине массовой истерии… Просто притащили, сунули поводок в руки работника и удалились. Вот и вся любовь человеческая… Малыш в стрессе, конечно((("
КРИСТИАН,2023-10-01,,,https://helpdog.ru/forum/threads/kristian-kislovodsk-nuzhny-finkuratory.16081/,сообщение 2023-10-02: Расход Обработка при поступлении - 800 Передержка с 01.10.23 по 31.,,
ГРОМ,2023-04-09,2023-09-23,2024-02-17,https://helpdog.ru/forum/threads/grom-amstaff-v-vozraste-iz-semi-narkomanov.15964/,сообщение 2023-04-11: Передержка с 09.04.23 по 30.,сообщение 2023-09-23: Гром поехал домой,
